sec,mV,BPM
0.251,-0.009699299,0
0.252,-0.004592061,0
0.253,0.002749595,0
0.254,0.013283274,0
0.255,0.02860499,0
0.256,0.049991551,0
0.257,0.078400565,0
0.258,0.114470437,0
0.259,0.158839571,0
0.26,0.211188766,0
0.261,0.270241211,0
0.262,0.335039299,0
0.263,0.403029412,0
0.264,0.472615536,0
0.265,0.541882458,0
0.266,0.609872571,0
0.267,0.674351457,0
0.268,0.733403902,0
0.269,0.785114692,0
0.27,0.827887814,0
0.271,0.859808054,0
0.272,0.880237008,0
0.273,0.888536271,0
0.274,0.88438664,0
0.275,0.869064924,0
0.276,0.843209529,0
0.277,0.808416467,0
0.278,0.765962547,0
0.279,0.716486174,0
0.28,0.661902563,0
0.281,0.60316932,0
0.282,0.541563256,0
0.283,0.477722775,0
0.284,0.413243889,0
0.285,0.348765003,0
0.286,0.285243724,0
0.287,0.222999255,0
0.288,0.162989203,0
0.289,0.106171174,0
0.29,0.053183575,0
0.291,0.005622416,0
0.292,-0.036193099,0
0.293,-0.071624566,0
0.294,-0.099714378,0
0.295,-0.120781736,0
0.296,-0.133869035,0
0.297,-0.139295476,0
0.298,-0.137699464,0
0.299,-0.129400201,0
0.3,-0.1159937,0
0.301,-0.09875677,0
0.302,-0.078647019,0
0.303,-0.057260458,0
0.304,-0.036193099,0
0.305,-0.016721752,0
0.306,-0.000123227,0
0.307,0.012325667,0
0.308,0.020944132,0
0.309,0.025412966,0
0.31,0.025093763,0
0.311,0.020944132,0
0.312,0.013602477,0
0.313,0.004345607,0
0.314,-0.006826477,0
0.315,-0.017998562,0
0.316,-0.028532241,0
0.317,-0.036831504,0
0.318,-0.042896349,0
0.319,-0.045769171,0
0.32,-0.045769171,0
0.321,-0.043215552,0
0.322,-0.038108313,0
0.323,-0.032043467,0
0.324,-0.025021015,0
0.325,-0.018636966,0
0.326,-0.012891323,0
0.327,-0.009380097,0
0.328,-0.008103287,0
0.329,-0.009699299,0
0.33,-0.013529728,0
0.331,-0.019913776,0
0.332,-0.028213039,0
0.333,-0.037150706,0
0.334,-0.046726778,0
0.335,-0.055345243,0
0.336,-0.062367696,0
0.337,-0.067155732,0
0.338,-0.068751744,0
0.339,-0.067155732,0
0.34,-0.062686898,0
0.341,-0.055664446,0
0.342,-0.046407576,0
0.343,-0.036193099,0
0.344,-0.025340217,0
0.345,-0.015444942,0
0.346,-0.006826477,0
0.347,-0.000761632,0
0.348,0.002430392,0
0.349,0.002749595,0
0.35,0.000195976,0
0.351,-0.004911263,0
0.352,-0.011933716,0
0.353,-0.020232978,0
0.354,-0.029489848,0
0.355,-0.038427516,0
0.356,-0.046407576,0
0.357,-0.052153219,0
0.358,-0.054706838,0
0.359,-0.054068433,0
0.36,-0.050238005,0
0.361,-0.043853956,0
0.362,-0.035235492,0
0.363,-0.025659419,0
0.364,-0.015764145,0
0.365,-0.006507275,0
0.366,0.001472785,0
0.367,0.007218428,0
0.368,0.010410453,0
0.369,0.010729655,0
0.37,0.008176036,0
0.371,0.004026404,0
0.372,-0.002357644,0
0.373,-0.009380097,0
0.374,-0.016721752,0
0.375,-0.023425003,0
0.376,-0.028532241,0
0.377,-0.032043467,0
0.378,-0.032681872,0
0.379,-0.030766658,0
0.38,-0.025978622,0
0.381,-0.018956169,0
0.382,-0.010337704,0
0.383,-0.001080834,0
0.384,0.007856833,0
0.385,0.016794501,0
0.386,0.023816954,0
0.387,0.028924192,0
0.388,0.031477811,0
0.389,0.031158609,0
0.39,0.027966585,0
0.391,0.022220942,0
0.392,0.014560084,0
0.393,0.006260821,0
0.394,-0.002996049,0
0.395,-0.011295311,0
0.396,-0.017679359,0
0.397,-0.02182899,0
0.398,-0.0231058,0
0.399,-0.021509788,0
0.4,-0.016721752,0
0.401,-0.009699299,0
0.402,-0.001080834,0
0.403,0.008176036,0
0.404,0.017752108,0
0.405,0.026370573,0
0.406,0.033393026,0
0.407,0.038181062,0
0.408,0.040096276,0
0.409,0.039138669,0
0.41,0.03530824,0
0.411,0.029243394,0
0.412,0.021582537,0
0.413,0.012964072,0
0.414,0.004664809,0
0.415,-0.002996049,0
0.416,-0.009380097,0
0.417,-0.013210526,0
0.418,-0.014168133,0
0.419,-0.012252918,0
0.42,-0.007464882,0
0.421,-0.000442429,0
0.422,0.007856833,0
