sec,mV,BPM
0.289,-0.189409966,0
0.29,-0.198666,0
0.291,-0.206006993,0
0.292,-0.210475423,0
0.293,-0.211752118,0
0.294,-0.209198729,0
0.295,-0.203453604,0
0.296,-0.19515509,0
0.297,-0.184622361,0
0.298,-0.173770459,0
0.299,-0.162918556,0
0.3,-0.153662522,0
0.301,-0.146640703,0
0.302,-0.142491446,0
0.303,-0.142172272,0
0.304,-0.145044834,0
0.305,-0.151109133,0
0.306,-0.15972682,0
0.307,-0.170259549,0
0.308,-0.181111452,0
0.309,-0.191644181,0
0.31,-0.200900215,0
0.311,-0.207602861,0
0.312,-0.211432944,0
0.313,-0.212071291,0
0.314,-0.208560382,0
0.315,-0.20217691,0
0.316,-0.193240049,0
0.317,-0.18270732,0
0.318,-0.17121707,0
0.319,-0.160684341,0
0.32,-0.151428307,0
0.321,-0.144725661,0
0.322,-0.141214751,0
0.323,-0.140895578,0
0.324,-0.144087314,0
0.325,-0.150470786,0
0.326,-0.159088473,0
0.327,-0.168982855,0
0.328,-0.17919641,0
0.329,-0.188771618,0
0.33,-0.197070132,0
0.331,-0.202496083,0
0.332,-0.205049472,0
0.333,-0.204091951,0
0.334,-0.199942695,0
0.335,-0.192920875,0
0.336,-0.183345667,0
0.337,-0.172493764,0
0.338,-0.161641862,0
0.339,-0.151428307,0
0.34,-0.143448966,0
0.341,-0.137703842,0
0.342,-0.135150453,0
0.343,-0.136427147,0
0.344,-0.141214751,0
0.345,-0.148874918,0
0.346,-0.159088473,0
0.347,-0.170259549,0
0.348,-0.181749799,0
0.349,-0.192601702,0
0.35,-0.201538563,0
0.351,-0.207922035,0
0.352,-0.211432944,0
0.353,-0.210794597,0
0.354,-0.206964514,0
0.355,-0.199623521,0
0.356,-0.190367486,0
0.357,-0.179515584,0
0.358,-0.168663681,0
0.359,-0.158450126,0
0.36,-0.150151612,0
0.361,-0.144725661,0
0.362,-0.142172272,0
0.363,-0.143129793,0
0.364,-0.147598223,0
0.365,-0.154620043,0
0.366,-0.163556904,0
0.367,-0.173770459,0
0.368,-0.183664841,0
0.369,-0.192601702,0
0.37,-0.199942695,0
0.371,-0.204411125,0
0.372,-0.205368646,0
0.373,-0.203134431,0
0.374,-0.197389306,0
0.375,-0.188771618,0
0.376,-0.178238889,0
0.377,-0.16674864,0
0.378,-0.15525839,0
0.379,-0.145364008,0
0.38,-0.137384668,0
0.381,-0.13227789,0
0.382,-0.130362849,0
0.383,-0.131958717,0
0.384,-0.137065494,0
0.385,-0.144725661,0
0.386,-0.153981695,0
0.387,-0.164195251,0
0.388,-0.174408806,0
0.389,-0.183345667,0
0.39,-0.190048313,0
0.391,-0.193878396,0
0.392,-0.194516743,0
0.393,-0.191325007,0
0.394,-0.184941535,0
0.395,-0.175366327,0
0.396,-0.164195251,0
0.397,-0.15174748,0
0.398,-0.139618883,0
0.399,-0.128766981,0
0.4,-0.11983012,0
0.401,-0.113765821,0
0.402,-0.111212432,0
0.403,-0.11185078,0
0.404,-0.115680863,0
0.405,-0.122064335,0
0.406,-0.130043675,0
0.407,-0.138342189,0
0.408,-0.146002355,0
0.409,-0.152385827,0
0.41,-0.156535084,0
0.411,-0.157492605,0
0.412,-0.154939216,0
0.413,-0.148555744,0
0.414,-0.13929971,0
0.415,-0.127171113,0
0.416,-0.113127474,0
0.417,-0.098764662,0
0.418,-0.084721023,0
0.419,-0.072273253,0
0.42,-0.062378871,0
0.421,-0.055995399,0
0.422,-0.05344201,0
0.423,-0.054399531,0
0.424,-0.058548788,0
0.425,-0.065251433,0
0.426,-0.073869121,0
0.427,-0.082805982,0
0.428,-0.091742842,0
0.429,-0.099403009,0
0.43,-0.105467307,0
0.431,-0.10833987,0
0.432,-0.10833987,0
0.433,-0.105467307,0
0.434,-0.099403009,0
0.435,-0.091104495,0
0.436,-0.082167634,0
0.437,-0.072592426,0
0.438,-0.064613086,0
0.439,-0.058229614,0
0.44,-0.054718704,0
0.441,-0.054399531,0
0.442,-0.057591267,0
0.443,-0.064613086,0
0.444,-0.074826641,0
0.445,-0.087274412,0
0.446,-0.101318051,0
0.447,-0.115680863,0
0.448,-0.129086154,0
0.449,-0.141214751,0
0.45,-0.150789959,0
0.451,-0.156854258,0
0.452,-0.15972682,0
0.453,-0.158769299,0
0.454,-0.154620043,0
0.455,-0.148236571,0
0.456,-0.14025723,0
0.457,-0.131639543,0
0.458,-0.123979377,0
0.459,-0.117915078,0
0.46,-0.114404168,0
0.461,-0.114404168,0
0.462,-0.117595904,0
0.463,-0.12429855,0
0.464,-0.133554585,0
0.465,-0.144725661,0
0.466,-0.157173431,0
0.467,-0.169302028,0
0.468,-0.180792278,0
0.469,-0.190367486,0
0.47,-0.197389306,0
0.471,-0.201219389,0
0.472,-0.201538563,0
0.473,-0.198666,0
0.474,-0.192920875,0
0.475,-0.184941535,0
0.476,-0.176323848,0
0.477,-0.167386987,0
0.478,-0.159407647,0
0.479,-0.153662522,0
0.48,-0.150470786,0
0.481,-0.150789959,0
0.482,-0.154300869,0
0.483,-0.161003515,0
0.484,-0.170578723,0
0.485,-0.181430625,0
0.486,-0.193240049,0
0.487,-0.204411125,0
0.488,-0.21462468,0
0.489,-0.222284847,0
0.49,-0.227072451,0
0.491,-0.228668319,0
0.492,-0.226434104,0
0.493,-0.220688979,0
0.494,-0.212390465,0
0.495,-0.201857736,0
0.496,-0.19068666,0
0.497,-0.179515584,0
0.498,-0.169621202,0
0.499,-0.161961036,0
0.5,-0.157173431,0
0.501,-0.156215911,0
0.502,-0.158450126,0
0.503,-0.163876077,0
0.504,-0.172174591,0
0.505,-0.182068973,0
0.506,-0.192920875,0
0.507,-0.203453604,0
0.508,-0.212709639,0
0.509,-0.219731458,0
0.51,-0.223880715,0
0.511,-0.224838236,0
0.512,-0.221965673,0
0.513,-0.216220548,0
0.514,-0.207283687,0
0.515,-0.197070132,0
0.516,-0.185899056,0
0.517,-0.175366327,0
0.518,-0.166110292,0
0.519,-0.159407647,0
0.52,-0.155896737,0
0.521,-0.155577563,0
0.522,-0.159088473,0
0.523,-0.165471945,0
0.524,-0.174089633,0
0.525,-0.184303188,0
0.526,-0.19515509,0
0.527,-0.205368646,0
0.528,-0.214305507,0
0.529,-0.220688979,0
0.53,-0.224199888,0
0.531,-0.224199888,0
0.532,-0.220688979,0
0.533,-0.213986333,0
0.534,-0.205049472,0
0.535,-0.194516743,0
0.536,-0.183345667,0
0.537,-0.172812938,0
0.538,-0.163876077,0
