sec,mV,BPM
0.217,-0.360821946,0
0.218,-0.366248386,0
0.219,-0.37071722,0
0.22,-0.373909244,0
0.221,-0.375186054,0
0.222,-0.375186054,0
0.223,-0.373590042,0
0.224,-0.37071722,0
0.225,-0.367205994,0
0.226,-0.363694767,0
0.227,-0.360183541,0
0.228,-0.357310719,0
0.229,-0.355395505,0
0.23,-0.354437897,0
0.231,-0.355076302,0
0.232,-0.356353112,0
0.233,-0.358268326,0
0.234,-0.360821946,0
0.235,-0.363056362,0
0.236,-0.364971577,0
0.237,-0.366567589,0
0.238,-0.366886791,0
0.239,-0.365929184,0
0.24,-0.363694767,0
0.241,-0.360183541,0
0.242,-0.355714707,0
0.243,-0.350288266,0
0.244,-0.344542623,0
0.245,-0.339116182,0
0.246,-0.334647348,0
0.247,-0.331136122,0
0.248,-0.328901705,0
0.249,-0.327944098,0
0.25,-0.328582503,0
0.251,-0.330497717,0
0.252,-0.333370539,0
0.253,-0.337200967,0
0.254,-0.341350599,0
0.255,-0.345181028,0
0.256,-0.348692254,0
0.257,-0.351245873,0
0.258,-0.352203481,0
0.259,-0.352203481,0
0.26,-0.350288266,0
0.261,-0.347096242,0
0.262,-0.342627408,0
0.263,-0.337200967,0
0.264,-0.331136122,0
0.265,-0.325390478,0
0.266,-0.319964038,0
0.267,-0.315495204,0
0.268,-0.31230318,0
0.269,-0.310707168,0
0.27,-0.310387965,0
0.271,-0.311345573,0
0.272,-0.313899192,0
0.273,-0.317410418,0
0.274,-0.32156005,0
0.275,-0.326028883,0
0.276,-0.330178515,0
0.277,-0.333370539,0
0.278,-0.335924158,0
0.279,-0.336881765,0
0.28,-0.33624336,0
0.281,-0.334328146,0
0.282,-0.331136122,0
0.283,-0.327305693,0
0.284,-0.322836859,0
0.285,-0.318368026,0
0.286,-0.314218394,0
0.287,-0.31102637,0
0.288,-0.308791953,0
0.289,-0.307515144,0
0.29,-0.307834346,0
0.291,-0.309430358,0
0.292,-0.311664775,0
0.293,-0.314856799,0
0.294,-0.318368026,0
0.295,-0.321240847,0
0.296,-0.323794466,0
0.297,-0.325071276,0
0.298,-0.325071276,0
0.299,-0.323794466,0
0.3,-0.320921645,0
0.301,-0.317091216,0
0.302,-0.312622382,0
0.303,-0.307515144,0
0.304,-0.302088703,0
0.305,-0.297300667,0
0.306,-0.292831833,0
0.307,-0.289320607,0
0.308,-0.28708619,0
0.309,-0.286128583,0
0.31,-0.286447785,0
0.311,-0.288362999,0
0.312,-0.291235821,0
0.313,-0.29506625,0
0.314,-0.299215881,0
0.315,-0.303365512,0
0.316,-0.306876739,0
0.317,-0.309430358,0
0.318,-0.310707168,0
0.319,-0.310387965,0
0.32,-0.308791953,0
0.321,-0.305280727,0
0.322,-0.300492691,0
0.323,-0.29506625,0
0.324,-0.289320607,0
0.325,-0.284213368,0
0.326,-0.279744534,0
0.327,-0.276233308,0
0.328,-0.274318094,0
0.329,-0.273998891,0
0.33,-0.274637296,0
0.331,-0.276871713,0
0.332,-0.279744534,0
0.333,-0.283255761,0
0.334,-0.28708619,0
0.335,-0.290278214,0
0.336,-0.293151035,0
0.337,-0.294747047,0
0.338,-0.29506625,0
0.339,-0.29378944,0
0.34,-0.290597416,0
0.341,-0.286447785,0
0.342,-0.280702142,0
0.343,-0.274637296,0
0.344,-0.267934045,0
0.345,-0.261549997,0
0.346,-0.255804354,0
0.347,-0.251016318,0
0.348,-0.247505091,0
0.349,-0.245589877,0
0.35,-0.245270675,0
0.351,-0.246228282,0
0.352,-0.248781901,0
0.353,-0.251654723,0
0.354,-0.255165949,0
0.355,-0.258357973,0
0.356,-0.261230795,0
0.357,-0.263465212,0
0.358,-0.264103617,0
0.359,-0.263784414,0
0.36,-0.261549997,0
0.361,-0.258357973,0
0.362,-0.25388914,0
0.363,-0.248781901,0
0.364,-0.24335546,0
0.365,-0.237929019,0
0.366,-0.233460186,0
0.367,-0.229948959,0
0.368,-0.227714542,0
0.369,-0.226756935,0
0.37,-0.22739534,0
0.371,-0.228991352,0
0.372,-0.231225769,0
0.373,-0.234417793,0
0.374,-0.237609817,0
0.375,-0.240482638,0
0.376,-0.242717055,0
0.377,-0.243993865,0
0.378,-0.244313067,0
0.379,-0.243036258,0
0.38,-0.240482638,0
0.381,-0.236971412,0
0.382,-0.232502578,0
0.383,-0.22739534,0
0.384,-0.221968899,0
0.385,-0.216542458,0
0.386,-0.212073624,0
0.387,-0.208562398,0
0.388,-0.206647183,0
0.389,-0.206647183,0
0.39,-0.207923993,0
0.391,-0.210796815,0
0.392,-0.214946446,0
0.393,-0.219734482,0
0.394,-0.224841721,0
0.395,-0.229948959,0
0.396,-0.234417793,0
0.397,-0.238248222,0
0.398,-0.240801841,0
0.399,-0.242397853,0
0.4,-0.242717055,0
0.401,-0.242397853,0
0.402,-0.240801841,0
0.403,-0.238886626,0
0.404,-0.236971412,0
0.405,-0.235056198,0
0.406,-0.23409859,0
0.407,-0.233779388,0
0.408,-0.234736995,0
0.409,-0.236971412,0
0.41,-0.240163436,0
0.411,-0.24463227,0
0.412,-0.249420306,0
0.413,-0.255165949,0
0.414,-0.26059239,0
0.415,-0.265699629,0
0.416,-0.270168462,0
0.417,-0.273679689,0
0.418,-0.275914106,0
0.419,-0.276871713,0
0.42,-0.276233308,0
0.421,-0.274956498,0
0.422,-0.272722081,0
0.423,-0.270168462,0
0.424,-0.267934045,0
0.425,-0.266018831,0
0.426,-0.264742021,0
0.427,-0.265061224,0
0.428,-0.266338033,0
0.429,-0.268891653,0
0.43,-0.273041284,0
0.431,-0.278467725,0
0.432,-0.284532571,0
0.433,-0.290916619,0
0.434,-0.297300667,0
0.435,-0.303365512,0
0.436,-0.308153549,0
0.437,-0.311664775,0
0.438,-0.313899192,0
0.439,-0.314537597,0
0.44,-0.313899192,0
0.441,-0.31230318,0
0.442,-0.309749561,0
0.443,-0.306557537,0
0.444,-0.304003917,0
0.445,-0.301450298,0
0.446,-0.300173488,0
0.447,-0.300173488,0
0.448,-0.301450298,0
0.449,-0.30432312,0
0.45,-0.308472751,0
0.451,-0.314218394,0
0.452,-0.320921645,0
0.453,-0.327624895,0
0.454,-0.334647348,0
0.455,-0.341350599,0
0.456,-0.347096242,0
0.457,-0.351565076,0
0.458,-0.354118695,0
0.459,-0.355076302,0
0.46,-0.354118695,0
0.461,-0.351884278,0
0.462,-0.348053849,0
0.463,-0.343265813,0
0.464,-0.33879698,0
0.465,-0.334328146,0
0.466,-0.330816919,0
0.467,-0.328582503,0
0.468,-0.327305693,0
0.469,-0.327624895,0
0.47,-0.328901705,0
0.471,-0.331455324,0
0.472,-0.335285753,0
0.473,-0.339435384,0
0.474,-0.34422342,0
0.475,-0.348692254,0
0.476,-0.352841885,0
0.477,-0.356033909,0
0.478,-0.357949124,0
0.479,-0.357949124,0
0.48,-0.356991517,0
0.481,-0.354437897,0
0.482,-0.351565076,0
0.483,-0.348053849,0
0.484,-0.344542623,0
0.485,-0.341350599,0
0.486,-0.33879698,0
0.487,-0.33752017,0
0.488,-0.33752017,0
0.489,-0.33879698,0
0.49,-0.341350599,0
0.491,-0.344861825,0
0.492,-0.349011456,0
0.493,-0.353799493,0
0.494,-0.358587529,0
0.495,-0.36273716,0
0.496,-0.366248386,0
0.497,-0.368482803,0
0.498,-0.36944041,0
0.499,-0.368482803,0
0.5,-0.366248386,0
0.501,-0.363056362,0
0.502,-0.359225933,0
0.503,-0.3547571,0
0.504,-0.350926671,0
0.505,-0.347096242,0
0.506,-0.34422342,0
0.507,-0.342946611,0
0.508,-0.342627408,0
0.509,-0.343904218,0
0.51,-0.346457837,0
0.511,-0.350607469,0
0.512,-0.355076302,0
0.513,-0.360183541,0
0.514,-0.364971577,0
0.515,-0.36944041,0
0.516,-0.373270839,0
0.517,-0.375505256,0
0.518,-0.376143661,0
0.519,-0.374866851,0
0.52,-0.37199403,0
0.521,-0.367844398,0
0.522,-0.362098755,0
0.523,-0.356033909,0
0.524,-0.349969064,0
0.525,-0.34422342,0
0.526,-0.339754587,0
0.527,-0.33624336,0
0.528,-0.334328146,0
0.529,-0.333689741,0
0.53,-0.334647348,0
0.531,-0.336881765,0
0.532,-0.339754587,0
0.533,-0.343265813,0
0.534,-0.347096242,0
0.535,-0.350288266,0
0.536,-0.352522683,0
0.537,-0.354118695,0
0.538,-0.354118695,0
0.539,-0.352841885,0
0.54,-0.350288266,0
0.541,-0.34677704,0
0.542,-0.342308206,0
0.543,-0.33752017,0
0.544,-0.332732134,0
0.545,-0.328582503,0
0.546,-0.325071276,0
0.547,-0.322836859,0
0.548,-0.321879252,0
0.549,-0.322198454,0
0.55,-0.323475264,0
0.551,-0.326028883,0
0.552,-0.329220907,0
0.553,-0.332732134,0
0.554,-0.335924158,0
0.555,-0.33879698,0
0.556,-0.341031396,0
0.557,-0.341669801,0
0.558,-0.341031396,0
0.559,-0.33879698,0
0.56,-0.335285753,0
0.561,-0.330497717,0
0.562,-0.324752074,0
0.563,-0.31900643,0
0.564,-0.313579989,0
0.565,-0.308791953,0
0.566,-0.305280727,0
0.567,-0.303365512,0
0.568,-0.303365512,0
0.569,-0.304961524,0
0.57,-0.308153549,0
0.571,-0.31230318,0
0.572,-0.317410418,0
0.573,-0.322517657,0
0.574,-0.327624895,0
0.575,-0.332093729,0
0.576,-0.335285753,0
0.577,-0.337200967,0
0.578,-0.337200967,0
0.579,-0.335285753,0
0.58,-0.331774527,0
0.581,-0.32698649,0
0.582,-0.321240847,0
0.583,-0.314856799,0
0.584,-0.308472751,0
0.585,-0.302727108,0
0.586,-0.297619869,0
0.587,-0.294108643,0
0.588,-0.291874226,0
0.589,-0.291235821,0
0.59,-0.292193428,0
0.591,-0.294108643,0
0.592,-0.297300667,0
0.593,-0.300811893,0
0.594,-0.30432312,0
0.595,-0.307515144,0
0.596,-0.310387965,0
0.597,-0.311983977,0
0.598,-0.311983977,0
0.599,-0.310707168,0
0.6,-0.308153549,0
0.601,-0.30432312,0
0.602,-0.299535084,0
0.603,-0.294747047,0
0.604,-0.289959011,0
0.605,-0.285490178,0
0.606,-0.282298154,0
0.607,-0.280063737,0
0.608,-0.279425332,0
0.609,-0.280063737,0
0.61,-0.281978951,0
0.611,-0.285170975,0
0.612,-0.288682202,0
0.613,-0.292831833,0
0.614,-0.296662262,0
0.615,-0.299854286,0
0.616,-0.302088703,0
0.617,-0.303365512,0
0.618,-0.302727108,0
0.619,-0.300811893,0
0.62,-0.297300667,0
0.621,-0.292512631,0
0.622,-0.286766987,0
0.623,-0.281021344,0
0.624,-0.275594903,0
0.625,-0.270806867,0
0.626,-0.267295641,0
0.627,-0.265061224,0
0.628,-0.264422819,0
0.629,-0.265061224,0
0.63,-0.267614843,0
0.631,-0.271445272,0
0.632,-0.275914106,0
0.633,-0.281021344,0
0.634,-0.286128583,0
0.635,-0.290597416,0
0.636,-0.294427845,0
0.637,-0.296981464,0
0.638,-0.297939072,0
0.639,-0.297619869,0
0.64,-0.295385452,0
0.641,-0.292193428,0
0.642,-0.288043797,0
0.643,-0.283255761,0
0.644,-0.278467725,0
0.645,-0.274637296,0
0.646,-0.271445272,0
0.647,-0.269530057,0
0.648,-0.268891653,0
0.649,-0.269530057,0
0.65,-0.270806867,0
0.651,-0.273041284,0
0.652,-0.275594903,0
0.653,-0.278786927,0
0.654,-0.281659749,0
0.655,-0.283894166,0
0.656,-0.285490178,0
0.657,-0.286128583,0
0.658,-0.285490178,0
0.659,-0.283574963,0
0.66,-0.280702142,0
0.661,-0.27655251,0
0.662,-0.272083677,0
0.663,-0.267614843,0
0.664,-0.263146009,0
0.665,-0.25931558,0
0.666,-0.256761961,0
0.667,-0.255485152,0
0.668,-0.255485152,0
0.669,-0.257081164,0
0.67,-0.259634783,0
0.671,-0.263465212,0
0.672,-0.267614843,0
0.673,-0.271764474,0
0.674,-0.275594903,0
0.675,-0.278786927,0
0.676,-0.280702142,0
0.677,-0.281340546,0
0.678,-0.280382939,0
0.679,-0.27782932,0
0.68,-0.273679689,0
0.681,-0.268891653,0
0.682,-0.263146009,0
0.683,-0.257719568,0
0.684,-0.252293128,0
0.685,-0.247824294,0
0.686,-0.24463227,0
0.687,-0.242717055,0
0.688,-0.242397853,0
0.689,-0.24335546,0
0.69,-0.245589877,0
0.691,-0.249101103,0
0.692,-0.253250735,0
0.693,-0.257400366,0
0.694,-0.261230795,0
0.695,-0.264422819,0
0.696,-0.266338033,0
0.697,-0.266976438,0
0.698,-0.266018831,0
0.699,-0.263146009,0
0.7,-0.258996378,0
0.701,-0.25388914,0
0.702,-0.248143496,0
0.703,-0.242717055,0
0.704,-0.237609817,0
0.705,-0.233460186,0
0.706,-0.230587364,0
