Time,"CH 1, ECG","CH40, Heart Rate"
sec,mV,BPM
0.225,0.061512643,0
0.226,0.058958717,0
0.227,0.0525739,0
0.228,0.042358194,0
0.229,0.029588562,0
0.23,0.015222725,0
0.231,0.000537648,0
0.232,-0.013189708,0
0.233,-0.025001618,0
0.234,-0.033940361,0
0.235,-0.039048214,0
0.236,-0.040005936,0
0.237,-0.037132769,0
0.238,-0.030428712,0
0.239,-0.020851487,0
0.24,-0.009678059,0
0.241,0.001814611,0
0.242,0.012349558,0
0.243,0.021288301,0
0.244,0.027353876,0
0.245,0.029907803,0
0.246,0.028311598,0
0.247,0.023203745,0
0.248,0.014584243,0
0.249,0.003730056,0
0.25,-0.008401095,0
0.251,-0.020851487,0
0.252,-0.032663397,0
0.253,-0.041921381,0
0.254,-0.048625438,0
0.255,-0.051498605,0
0.256,-0.050221642,0
0.257,-0.044475307,0
0.258,-0.035217324,0
0.259,-0.022766932,0
0.26,-0.008401095,0
0.261,0.006283982,0
0.262,0.02096906,0
0.263,0.034057933,0
0.264,0.043954398,0
0.265,0.050019974,0
0.266,0.05225466,0
0.267,0.050339215,0
0.268,0.044912121,0
0.269,0.036292619,0
0.27,0.026076913,0
0.271,0.014903484,0
0.272,0.004368537,0
0.273,-0.004889446,0
0.274,-0.011593503,0
0.275,-0.014466671,0
0.276,-0.013508948,0
0.277,-0.008720336,0
0.278,-0.000100834,0
0.279,0.011072594,0
0.28,0.024161468,0
0.281,0.037888823,0
0.282,0.050977696,0
0.283,0.062470366,0
0.284,0.071409109,0
0.285,0.077155443,0
0.286,0.079390129,0
0.287,0.077793925,0
0.288,0.072686072,0
0.289,0.064705051,0
0.29,0.055447068,0
0.291,0.045869843,0
0.292,0.0369311,0
0.293,0.029907803,0
0.294,0.026076913,0
0.295,0.026076913,0
0.296,0.030227043,0
0.297,0.038846545,0
0.298,0.050977696,0
0.299,0.066301255,0
0.3,0.083221019,0
0.301,0.100779264,0
0.302,0.117699027,0
0.303,0.132384104,0
0.304,0.144196014,0
0.305,0.152177035,0
0.306,0.155688684,0
0.307,0.154730961,0
0.308,0.149623108,0
0.309,0.141642088,0
0.31,0.131745623,0
0.311,0.120572194,0
0.312,0.110037247,0
0.313,0.100779264,0
0.314,0.093436725,0
0.315,0.089925076,0
0.316,0.089925076,0
0.317,0.094394447,0
0.318,0.102694708,0
0.319,0.114187378,0
0.32,0.127914733,0
0.321,0.141961329,0
0.322,0.155688684,0
0.323,0.167500594,0
0.324,0.176439337,0
0.325,0.181866431,0
0.326,0.182504912,0
0.327,0.178674022,0
0.328,0.170693002,0
0.329,0.158561851,0
0.33,0.143876774,0
0.331,0.127595492,0
0.332,0.111633451,0
0.333,0.096629133,0
0.334,0.084178741,0
0.335,0.074920757,0
0.336,0.069174423,0
0.337,0.066939737,0
0.338,0.068535941,0
0.339,0.073005313,0
0.34,0.080028611,0
0.341,0.08769039,0
0.342,0.09535217,0
0.343,0.101736986,0
0.344,0.105248635,0
0.345,0.105248635,0
0.346,0.101417745,0
0.347,0.093117484,0
0.348,0.080986333,0
0.349,0.065982015,0
0.35,0.048743011,0
0.351,0.030546284,0
0.352,0.01330728,0
0.353,-0.002016279,0
0.354,-0.015105152,0
0.355,-0.024682377,0
0.356,-0.030428712,0
0.357,-0.031705675,0
0.358,-0.029470989,0
0.359,-0.024043895,0
0.36,-0.016062875,0
0.361,-0.007124132,0
0.362,0.001814611,0
0.363,0.00915715,0
0.364,0.014265003,0
0.365,0.015861207,0
0.366,0.01330728,0
0.367,0.006603223,0
0.368,-0.003612483,0
0.369,-0.017339838,0
0.37,-0.032982638,0
0.371,-0.049583161,0
0.372,-0.065545201,0
0.373,-0.079591797,0
0.374,-0.091084467,0
0.375,-0.098746246,0
0.376,-0.102257895,0
0.377,-0.101300173,0
0.378,-0.095873079,0
0.379,-0.086934336,0
0.38,-0.075122426,0
0.381,-0.062033552,0
0.382,-0.048306197,0
0.383,-0.036175046,0
0.384,-0.026278581,0
0.385,-0.019893765,0
0.386,-0.01797832,0
0.387,-0.020213005,0
0.388,-0.026597822,0
0.389,-0.036813528,0
0.39,-0.049902401,0
0.391,-0.064268238,0
0.392,-0.078634075,0
0.393,-0.092042189,0
0.394,-0.102577136,0
0.395,-0.110238915,0
0.396,-0.113112083,0
0.397,-0.11183512,0
0.398,-0.106088785,0
0.399,-0.09619232,0
0.4,-0.083741928,0
0.401,-0.069695332,0
0.402,-0.055329495,0
0.403,-0.042559863,0
0.404,-0.031705675,0
0.405,-0.024043895,0
0.406,-0.020213005,0
0.407,-0.020532246,0
0.408,-0.024682377,0
0.409,-0.032344156,0
0.41,-0.042879103,0
0.411,-0.055010254,0
0.412,-0.067141405,0
0.413,-0.078634075,0
0.414,-0.088211299,0
0.415,-0.095234597,0
0.416,-0.098427005,0
0.417,-0.098107764,0
0.418,-0.093957634,0
0.419,-0.086615095,0
0.42,-0.07671863,0
0.421,-0.06522596,0
0.422,-0.053733291,0
0.423,-0.042879103,0
0.424,-0.033301879,0
0.425,-0.026278581,0
0.426,-0.02212845,0
0.427,-0.020851487,0
0.428,-0.02212845,0
0.429,-0.02595934,0
0.43,-0.031386434,0
0.431,-0.036813528,0
0.432,-0.041282899,0
0.433,-0.043836826,0
0.434,-0.043517585,0
0.435,-0.039048214,0
0.436,-0.030109471,0
0.437,-0.016382116,0
0.438,0.002133852,0
0.439,0.024799949,0
0.44,0.051616178,0
0.441,0.080667092,0
0.442,0.110356488,0
0.443,0.139726643,0
0.444,0.166862112,0
0.445,0.190805173,0
0.446,0.210598104,0
0.447,0.225602422,0
0.448,0.235498888,0
0.449,0.240606741,0
0.45,0.241245222,0
0.451,0.238052814,0
0.452,0.231987239,0
0.453,0.223048496,0
0.454,0.21283279,0
0.455,0.20134012,0
0.456,0.189847451,0
0.457,0.178674022,0
0.458,0.167819835,0
0.459,0.157284888,0
0.46,0.145792219,0
0.461,0.132703345,0
0.462,0.117060545,0
0.463,0.098544578,0
0.464,0.076516962,0
0.465,0.050658456,0
0.466,0.021607541,0
0.467,-0.010635781,0
0.468,-0.04543303,0
0.469,-0.081507242,0
0.47,-0.117900695,0
0.471,-0.153017185,0
0.472,-0.185260507,0
0.473,-0.21399218,0
0.474,-0.237616001,0
0.475,-0.255493486,0
0.476,-0.266986156,0
0.477,-0.271774768,0
0.478,-0.270817046,0
0.479,-0.264112988,0
0.48,-0.253258801,0
0.481,-0.239212205,0
0.482,-0.223569405,0
0.483,-0.207926605,0
0.484,-0.193880009,0
0.485,-0.182068099,0
0.486,-0.173448597,0
0.487,-0.168340744,0
0.488,-0.167063781,0
0.489,-0.168659985,0
0.49,-0.173129356,0
0.491,-0.178875691,0
0.492,-0.184941266,0
0.493,-0.19036836,0
0.494,-0.193560768,0
0.495,-0.193880009,0
0.496,-0.190049119,0
0.497,-0.182068099,0
0.498,-0.169298466,0
0.499,-0.153017185,0
0.5,-0.133862736,0
0.501,-0.113112083,0
0.502,-0.092042189,0
0.503,-0.072249258,0
0.504,-0.054691014,0
0.505,-0.040005936,0
0.506,-0.029470989,0
0.507,-0.023405414,0
0.508,-0.02212845,0
0.509,-0.025640099,0
0.51,-0.032982638,0
0.511,-0.042559863,0
0.512,-0.053733291,0
0.513,-0.06490672,0
0.514,-0.074164703,0
0.515,-0.081188001,0
0.516,-0.084380409,0
0.517,-0.084061169,0
0.518,-0.079591797,0
0.519,-0.071291536,0
0.52,-0.060437348,0
0.521,-0.047348475,0
0.522,-0.033301879,0
0.523,-0.019893765,0
0.524,-0.008401095,0
0.525,0.000218407,0
0.526,0.005007019,0
0.527,0.005645501,0
0.528,0.002453092,0
0.529,-0.004889446,0
0.53,-0.015424393,0
0.531,-0.027874785,0
0.532,-0.041282899,0
0.533,-0.054052532,0
0.534,-0.06490672,0
0.535,-0.07288774,0
0.536,-0.077037871,0
0.537,-0.077037871,0
0.538,-0.07288774,0
0.539,-0.06490672,0
0.54,-0.05341405,0
0.541,-0.039367454,0
0.542,-0.024363136,0
0.543,-0.009678059,0
0.544,0.004049296,0
0.545,0.014584243,0
0.546,0.021926782,0
0.547,0.02511919,0
0.548,0.023842227,0
0.549,0.018734374,0
0.55,0.010434113,0
0.551,0.000218407,0
0.552,-0.010955022,0
0.553,-0.02212845,0
0.554,-0.031705675,0
0.555,-0.038728973,0
0.556,-0.042559863,0
0.557,-0.042240622,0
0.558,-0.03777125,0
0.559,-0.02979023,0
0.56,-0.018616801,0
0.561,-0.005527928,0
0.562,0.008518668,0
0.563,0.022565264,0
0.564,0.035015656,0
0.565,0.04459288,0
0.566,0.050658456,0
0.567,0.052893141,0
0.568,0.050658456,0
0.569,0.04459288,0
0.57,0.035015656,0
0.571,0.022884505,0
0.572,0.009795631,0
0.573,-0.00233552,0
0.574,-0.013508948,0
0.575,-0.02212845,0
0.576,-0.027236303,0
0.577,-0.027874785,0
0.578,-0.024682377,0
0.579,-0.017020597,0
0.58,-0.005847169,0
0.581,0.007560945,0
0.582,0.022565264,0
0.583,0.037569582,0
0.584,0.050658456,0
0.585,0.061512643,0
0.586,0.068535941,0
0.587,0.07204759,0
0.588,0.071089868,0
0.589,0.066301255,0
0.59,0.058320235,0
0.591,0.048104529,0
0.592,0.0369311,0
0.593,0.026076913,0
0.594,0.016818929,0
0.595,0.010434113,0
0.596,0.007880186,0
0.597,0.00947639,0
0.598,0.015541966,0
0.599,0.026076913,0
0.6,0.040442749,0
0.601,0.057043272,0
0.602,0.074920757,0
0.603,0.092798243,0
0.604,0.109079525,0
0.605,0.123126121,0
0.606,0.133661068,0
0.607,0.140365125,0
0.608,0.14259981,0
0.609,0.140684365,0
0.61,0.135257272,0
0.611,0.127276251,0
0.612,0.117379786,0
0.613,0.107483321,0
0.614,0.098225337,0
0.615,0.091202039,0
0.616,0.087371149,0
0.617,0.08769039,0
0.618,0.091840521,0
0.619,0.100140782,0
0.62,0.111952692,0
0.621,0.126318529,0
0.622,0.141642088,0
0.623,0.157284888,0
0.624,0.171650725,0
0.625,0.183781876,0
0.626,0.192082137,0
0.627,0.196232267,0
0.628,0.195913027,0
0.629,0.191443655,0
0.63,0.183143394,0
0.631,0.171969965,0
0.632,0.159200333,0
0.633,0.145792219,0
0.634,0.133341827,0
0.635,0.12280688,0
0.636,0.115464341,0
0.637,0.111633451,0
0.638,0.111633451,0
0.639,0.115783582,0
0.64,0.123126121,0
0.641,0.133022586,0
0.642,0.144196014,0
0.643,0.155688684,0
0.644,0.16590439,0
0.645,0.173566169,0
0.646,0.178354782,0
0.647,0.178993263,0
0.648,0.175800855,0
0.649,0.168458316,0
0.65,0.157284888,0
0.651,0.143238292,0
0.652,0.127595492,0
0.653,0.111633451,0
0.654,0.096629133,0
0.655,0.0838595,0
0.656,0.073643794,0
0.657,0.067258978,0
0.658,0.064705051,0
0.659,0.066301255,0
0.66,0.071089868,0
0.661,0.078432406,0
0.662,0.08769039,0
0.663,0.096948374,0
0.664,0.105248635,0
0.665,0.11099497,0
0.666,0.113868137,0
0.667,0.112591174,0
0.668,0.107483321,0
0.669,0.098863819,0
0.67,0.086732668,0
0.671,0.07204759,0
0.672,0.05640479,0
0.673,0.04076199,0
0.674,0.026396154,0
0.675,0.013945762,0
0.676,0.005007019,0
0.677,-0.000739316,0
0.678,-0.002016279,0
0.679,0.000856888,0
0.68,0.006922464,0
0.681,0.016499688,0
0.682,0.027673117,0
0.683,0.039485027,0
0.684,0.050019974,0
0.685,0.058000994,0
0.686,0.062789607,0
0.687,0.063108847,0
0.688,0.058958717,0
0.689,0.050339215,0
0.69,0.037888823,0
0.691,0.022246023,0
0.692,0.00532626,0
0.693,-0.012231985,0
0.694,-0.029151748,0
0.695,-0.043836826,0
0.696,-0.055648736,0
0.697,-0.062991275,0
0.698,-0.066183683,0
0.699,-0.06490672,0
0.7,-0.059479626,0
0.701,-0.050540883,0
0.702,-0.039367454,0
0.703,-0.026917063,0
0.704,-0.015105152,0
0.705,-0.004570206,0
0.706,0.003410815,0
0.707,0.007560945,0
0.708,0.008199427,0
0.709,0.00532626,0
0.71,-0.001377797,0
0.711,-0.010955022,0
0.712,-0.022447691,0
0.713,-0.034578842,0
0.714,-0.046071512,0
0.715,-0.056287218,0
0.716,-0.063629756,0
0.717,-0.067460646,0
0.718,-0.067141405,0
0.719,-0.062991275,0
0.72,-0.054691014,0
0.721,-0.043517585,0
0.722,-0.030747952,0
0.723,-0.01797832,0
0.724,-0.00616641,0
0.725,0.004049296,0
0.726,0.011072594,0
0.727,0.015222725,0
0.728,0.015861207,0
0.729,0.012668798,0
0.73,0.005964741,0
0.731,-0.003293242,0
0.732,-0.014785912,0
0.733,-0.026917063,0
0.734,-0.038409732,0
0.735,-0.047986956,0
0.736,-0.055010254,0
0.737,-0.058202663,0
0.738,-0.05724494,0
0.739,-0.051817846,0
0.74,-0.042879103,0
0.741,-0.030747952,0
0.742,-0.017020597,0
0.743,-0.002654761,0
0.744,0.010114872,0
0.745,0.021288301,0
0.746,0.029269321,0
0.747,0.033738692,0
0.748,0.033738692,0
0.749,0.029269321,0
0.75,0.021288301,0
0.751,0.010434113,0
0.752,-0.001697038,0
0.753,-0.014785912,0
0.754,-0.026597822,0
0.755,-0.036813528,0
0.756,-0.043517585,0
0.757,-0.046709993,0
0.758,-0.045113789,0
0.759,-0.038728973,0
0.76,-0.028194026,0
0.761,-0.013828189,0
0.762,0.003091574,0
0.763,0.020649819,0
0.764,0.037888823,0
0.765,0.053531623,0
0.766,0.066620496,0
0.767,0.07587848,0
0.768,0.081305574,0
0.769,0.082582537,0
0.77,0.080028611,0
0.771,0.073963035,0
0.772,0.065982015,0
0.773,0.05640479,0
0.774,0.047146807,0
0.775,0.039165786,0
0.776,0.033738692,0
0.777,0.031823247,0
0.778,0.033738692,0
0.779,0.039804268,0
0.78,0.049700733,0
0.781,0.063108847,0
0.782,0.078432406,0
0.783,0.095032929,0
0.784,0.11099497,0
0.785,0.125360806,0
0.786,0.136534235,0
0.787,0.144196014,0
0.788,0.147707663,0
0.789,0.1464307,0
0.79,0.141322847,0
0.791,0.132064863,0
0.792,0.120252953,0
0.793,0.106525598,0
0.794,0.092798243,0
0.795,0.07970937,0
0.796,0.068855182,0
0.797,0.060874162,0
0.798,0.05640479,0
0.799,0.055447068,0
0.8,0.058000994,0
0.801,0.063428088,0
0.802,0.071089868,0
0.803,0.079070888,0
