sec,mV,BPM
0.363,-0.061390347,0
0.364,-0.072889243,0
0.365,-0.081832828,0
0.366,-0.08790169,0
0.367,-0.091095828,0
0.368,-0.091095828,0
0.369,-0.088221104,0
0.37,-0.083429897,0
0.371,-0.077041622,0
0.372,-0.069695105,0
0.373,-0.062348588,0
0.374,-0.055960313,0
0.375,-0.051169106,0
0.376,-0.048613796,0
0.377,-0.048613796,0
0.378,-0.050849692,0
0.379,-0.055640899,0
0.38,-0.062348588,0
0.381,-0.069695105,0
0.382,-0.077680449,0
0.383,-0.08534638,0
0.384,-0.091734655,0
0.385,-0.096525862,0
0.386,-0.099081172,0
0.387,-0.099081172,0
0.388,-0.097164689,0
0.389,-0.09301231,0
0.39,-0.087582276,0
0.391,-0.081194001,0
0.392,-0.074805725,0
0.393,-0.069056277,0
0.394,-0.064265071,0
0.395,-0.061709761,0
0.396,-0.061390347,0
0.397,-0.063626243,0
0.398,-0.06841745,0
0.399,-0.075125139,0
0.4,-0.083429897,0
0.401,-0.092054069,0
0.402,-0.09972,0
0.403,-0.106108275,0
0.404,-0.110899482,0
0.405,-0.113454792,0
0.406,-0.113454792,0
0.407,-0.111218895,0
0.408,-0.107066516,0
0.409,-0.100997655,0
0.41,-0.094289965,0
0.411,-0.086943449,0
0.412,-0.079916346,0
0.413,-0.07352807,0
0.414,-0.068736864,0
0.415,-0.066181553,0
0.416,-0.06586214,0
0.417,-0.067778622,0
0.418,-0.071611588,0
0.419,-0.077361035,0
0.42,-0.083429897,0
0.421,-0.089818173,0
0.422,-0.094928793,0
0.423,-0.098122931,0
0.424,-0.098442344,0
0.425,-0.095567621,0
0.426,-0.088221104,0
0.427,-0.076722208,0
0.428,-0.060432106,0
0.429,-0.039989624,0
0.43,-0.016033591,0
0.431,0.010477752,0
0.432,0.039544405,0
0.433,0.069249886,0
0.434,0.099913608,0
0.435,0.130257917,0
0.436,0.160282811,0
0.437,0.189668879,0
0.438,0.217777291,0
0.439,0.244288634,0
0.44,0.269202908,0
0.441,0.292520113,0
0.442,0.31424025,0
0.443,0.334682731,0
0.444,0.353528144,0
0.445,0.370457074,0
0.446,0.38451128,0
0.447,0.395051934,0
0.448,0.40144021,0
0.449,0.403037279,0
0.45,0.399204313,0
0.451,0.3896219,0
0.452,0.374290039,0
0.453,0.352889316,0
0.454,0.325419732,0
0.455,0.2922007,0
0.456,0.253871047,0
0.457,0.211389015,0
0.458,0.166032259,0
0.459,0.119078435,0
0.46,0.072763438,0
0.461,0.027726096,0
0.462,-0.013158867,0
0.463,-0.050210865,0
0.464,-0.082152242,0
0.465,-0.107705344,0
0.466,-0.12687017,0
0.467,-0.139966135,0
0.468,-0.146993238,0
0.469,-0.149548548,0
0.47,-0.148270893,0
0.471,-0.144757342,0
0.472,-0.139646721,0
0.473,-0.134536101,0
0.474,-0.12942548,0
0.475,-0.125911929,0
0.476,-0.123356619,0
0.477,-0.122398377,0
0.478,-0.122398377,0
0.479,-0.123037205,0
0.48,-0.123995446,0
0.481,-0.124953688,0
0.482,-0.125273101,0
0.483,-0.124634274,0
0.484,-0.122398377,0
0.485,-0.118245998,0
0.486,-0.112177137,0
0.487,-0.104191792,0
0.488,-0.094928793,0
0.489,-0.085026966,0
